record_id,near_duplicate_group_id,direct_perceptual_label_conflict,direct_benchmark_match,minimum_direct_distance
rec_05e101f7eaa985f174d3,near_2791da3a50be06fd2718,true,false,0
rec_05ea3ca4e1ef774764bb,near_2791da3a50be06fd2718,true,false,0
rec_05f4e7aaf87d061aa6b2,near_716cbadbd963e7850922,false,false,0
rec_05f5ab5bd182ccae5fd4,near_8092615ca4878f6bc9ff,false,false,2
rec_05f6fc7c97da26e30040,near_1f1836521901c34a3e10,false,false,1
rec_061d0ba887e317a8089f,near_1194835d6bd02bb0058b,false,false,4
rec_0636c572a331a1ecbcc1,near_2791da3a50be06fd2718,true,false,0
rec_064d8fe3720af8ea002a,near_90389d9b914d28dde369,false,false,0
rec_065444d101bd447920ea,near_8e04353b85223811e70b,false,false,2
rec_065b8ea8e9e4b69bfe7d,near_bb7cc1b305bc04a02d45,false,false,0
rec_0660afe5819eeadf978b,near_0fd09f8981748ace4339,false,false,1
rec_066b07d7b97cc820972b,near_8816d110ca1f382f0532,false,false,3
rec_06736c238b55b4f4aaf0,near_7f5f6f11157af5a53110,false,false,1
rec_06771d60a9bf291c4786,near_f5ddf0139979c30446d2,false,false,0
rec_067e2bfd73f975063683,near_c69ac3289395f03f3807,false,false,0
rec_06845c0d3b58ee4f1110,near_1d5276cbc1fac5ae701d,false,false,0
rec_06876b5e9139750d70cb,near_decaf119a0476c3bf5bb,false,false,0
rec_068d998678a05ae7dc39,near_f4ae6d3e0d433a3c5fc0,false,false,0
rec_069f38a23c8748235155,near_70aa754441f2fd41ada9,false,false,0
rec_06aabf4869eba53382e2,near_0fec7810bb8dc50de28f,false,false,0
rec_06ac453ca6fc37ad53be,near_bdbe632e17313f923c26,false,false,2
rec_06b398b9d541c382d8ff,near_5614d3a68e293cfaa201,false,false,0
rec_06b50d6eded0c1fb2ad7,near_dbf2b764df8e768451de,false,false,2
rec_06c10c758fdfdf942792,near_2791da3a50be06fd2718,true,false,0
rec_06c3fb6e3c06b07c3675,near_e1b7ccf1b59d0cc96d06,false,false,0
rec_06c6dba1b8450f8469d3,near_42079a635ea9c4bd4bc6,false,false,1
rec_06cf95b43e91d0172780,near_0fa7f521c00ff96b1e29,false,false,4
rec_06d19af641e150c54b5f,near_1e08bc1d4287d9dc1b51,false,false,4
rec_06d2a8c8e608da18a931,near_639c5b66a6929cd43e99,false,false,1
rec_06d4bcb61d236a19cce9,near_cb866871769f43a9d8bf,false,false,0
rec_06d8655e002a29297dc1,near_2791da3a50be06fd2718,true,false,0
rec_06db284a0f91ead35796,near_2a5d08d7bd97204edfd9,false,false,0
rec_06db6aa9a5466409d3ea,near_06ec4ca9b2de13e730cf,false,false,0
rec_06e12dc92fe7c13179f0,near_2791da3a50be06fd2718,true,false,0
rec_06eb001d108aa97d4c88,near_b0f0dc00044f22501db6,false,false,0
rec_06ee5eaf88a6c2118aa2,near_2791da3a50be06fd2718,true,false,0
rec_06fffbb2ab5f2a816310,near_2791da3a50be06fd2718,true,false,0
rec_0703936eb32a02135568,near_614f2c34f1b2233a785b,false,false,0
rec_07066f042499f09373e1,near_f048d1d99158fd900f58,true,false,3
rec_070a4d6be134aa714811,near_c4b09eaa5bc98fbe889b,false,false,0
rec_071a6accd5dc74d76e07,near_b4620332fc8aa76b571d,false,false,3
rec_071e034b26a4931fd84b,near_c4b09eaa5bc98fbe889b,false,false,0
